"Figure 16: The ecosystem service value of UK fish returned to 2020 levels in 2022, after dipping in 2021",""
"Annual value of UK fish capture, £ million (2023 prices), 2016 to 2022",""
"",""
"Notes",""
"Unit","£ million (2023 prices)"
"",""
"Year","£ million (2023 prices)"
"2016","243"
"2017","284"
"2018","233"
"2019","215"
"2020","189"
"2021","134"
"2022","185"
