"4610.0 Water Account, Australia, 2023-24",,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 11 December 2025,,,,,,,,,,,,,,,,
"Physical Water Supply and Use, by Water Type, Australia and state/territory (Megalitres), 2014-15 to 2023-24",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Geography Description,Geography Code,Industry,ANZSIC Division Code,Supply/Use,Product,Unit, 2014-15 , 2015-16 , 2016-17 , 2017-18 , 2018-19 , 2019-20 , 2020-21 , 2021-22 , 2022-23 , 2023-24 
Australia,0,Total,Total,Supply,Reuse,ML,318766.277,325724.6157,304253.0958,310028.0836,317529.7356,298802.7986,288382.884,288194.8133,276017.3331,306442.7044
Australia,0,"Agriculture, forestry and fishing (d) (e) ",A,Supply,Return flows (b),ML,na,na,na,na,na,na,na,na,na,na
Australia,0,Mining,B,Supply,Return flows (b),ML,542697.5716,552138.2292,580458.9831,555755.825,573359.4818,609646.597,690989.4202,711449.8252,692773.8358,678522.1015
Australia,0,Manufacturing,C,Supply,Return flows (b),ML,122206.6463,117855.2549,120987.5203,125107.4584,122834.9326,128817.3154,139802.7534,134169.9521,114602.2704,134491.1321
Australia,0,Electricity and gas supply,D,Supply,Return flows (b),ML,49897418.07,48486283.5,53501446.32,53037746.5,50770778.86,53949087.24,48316413.39,50491437.44,51654382.82,40038175.91
Australia,0,"Water supply, sewerage and drainage services",D,Supply,Return flows (b),ML,367031,372351,379444.5132,324343.198,303244.3962,312921,374170,434696.135,422394.7486,372545.4659
Australia,0,"Waste collection, treatment and disposal services",D,Supply,Return flows (b),ML,44.1982,45.1775,45.5465,46.4266,46.5881,45.9796,45.2237,47.1094,na,na
Australia,0,"Total Electricity, gas, water and waste services (f)",D,Supply,Return flows (b),ML,50264493.27,48858679.67,53880936.38,53362136.13,51074069.85,54262054.22,48690628.62,50926180.69,52076777.57,40410721.37
Australia,0,Other industries,E -S,Supply,Return flows (b),ML,na,na,na,na,na,na,na,na,na,na
Australia,0,Total industry,Total industry,Supply,Return flows (b),ML,50929397.48,49528673.16,54582382.88,54042999.41,51770264.26,55000518.13,49521420.79,51771800.47,52884153.68,41223734.61
Australia,0,Households (g),HH,Supply,Return flows (b),ML,na,na,na,na,na,na,na,na,na,na
Australia,0,Environment,Environment,Supply,Return flows (b),ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Total,Total,Supply,Return flows (b),ML,50929397.48,49528673.16,54582382.88,54042999.41,51770264.26,55000518.13,49521420.79,51771800.47,52884153.68,41223734.61
Australia,0,"Agriculture, forestry and fishing (d) (e) ",A,Use,Surface water,ML,1364652.524,1218608.655,1530687.213,1423080.624,1016459.18,744619.9419,955014.3631,1045704.715,na,na
Australia,0,Mining,B,Use,Surface water,ML,270330.4839,251955.9559,279692.9951,265954.1375,233626.7209,225462.7285,288792.6706,np,np,np
Australia,0,Manufacturing,C,Use,Surface water,ML,232598.1063,227658.6626,232380.8044,250441.1912,247377.6096,227639.357,259257.4911,np,np,np
Australia,0,Electricity and gas supply,D,Use,Surface water,ML,49903970.48,48489622.12,53501581.93,53046099.04,np,np,np,51092439.75,51654311.13,40038103.5
Australia,0,"Water supply, sewerage and drainage services",D,Use,Surface water,ML,11504563.43,10094410.36,11041360.15,11837422.23,9643534.448,7803642.906,10529735.15,11104197.64,9972968.354,11752658.59
Australia,0,"Waste collection, treatment and disposal services",D,Use,Surface water,ML,314.1332,318.553,228.2193,539.9758,np,np,np,268.3527,na,na
Australia,0,"Total Electricity, gas, water and waste services (f)",D,Use,Surface water,ML,61408848.05,58584351.04,64543170.31,64884061.24,60423181.47,61761775.34,58855295.11,62196905.74,61627279.48,51790762.09
Australia,0,Other industries,E -S,Use,Surface water,ML,61975.2181,61021.675,68651.3634,76068.5476,72520.8777,69094.5783,75101.1967,78512.7464,83792.1533,80889.7901
Australia,0,Total industry,Total industry,Use,Surface water,ML,63338404.38,60343595.99,66654582.68,66899605.74,61993165.86,63028591.94,60433460.83,63927373.07,na,na
Australia,0,Households (g),HH,Use,Surface water,ML,na,na,na,na,na,na,na,na,na,na
Australia,0,Environment,Environment,Use,Surface water,ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Total,Total,Use,Surface water,ML,63338404.38,60343595.99,66654582.68,66899605.74,61993165.86,63028591.94,60433460.83,63927373.07,na,na
Australia,0,"Agriculture, forestry and fishing (d) (e) ",A,Use,Groundwater,ML,1890156.783,2150063.455,1690548.192,1958307.448,2096916.957,1957930.601,1853507.408,1509114.9,na,na
Australia,0,Mining,B,Use,Groundwater,ML,857416.9965,880432.5163,874667.0355,846153.4482,843867.8414,897415.5948,985875.195,978720.5752,984424.8423,996048.1704
Australia,0,Manufacturing,C,Use,Groundwater,ML,129111.7814,115184.1756,115137.8542,123494.2881,119454.8324,122106.3938,120759.1063,127473.13,112115.0613,118906.3178
Australia,0,Electricity and gas supply,D,Use,Groundwater,ML,51124.4918,52464.694,54831.0736,47535.3837,np,np,np,50578.4855,53370.2753,53225.9701
Australia,0,"Water supply, sewerage and drainage services",D,Use,Groundwater,ML,510614,582667,566694.1151,574625.4381,595321,580931,528766,509856,517298,546878
Australia,0,"Waste collection, treatment and disposal services",D,Use,Groundwater,ML,69.1339,13.5321,13.3133,39.8982,np,np,np,52.5499,na,na
Australia,0,"Total Electricity, gas, water and waste services (f)",D,Use,Groundwater,ML,561807.6257,635145.2261,621538.502,622200.72,646072.064,634328.2893,580585.3548,560487.0354,570668.2753,600103.9701
Australia,0,Other industries,E -S,Use,Groundwater,ML,44377.987,43941.7227,44871.2219,45550.3923,45101.4525,43827.2956,44386.9544,45652.0819,47399.126,49304.3192
Australia,0,Total industry,Total industry,Use,Groundwater,ML,3482871.173,3824767.095,3346762.806,3595706.297,3751413.148,3655608.175,3585114.018,3221447.722,na,na
Australia,0,Households (g),HH,Use,Groundwater,ML,na,na,na,na,na,na,na,na,na,na
Australia,0,Environment,Environment,Use,Groundwater,ML,..,..,..,..,..,..,..,..,..,..
Australia,0,Total,Total,Use,Groundwater,ML,3482871.173,3824767.095,3346762.806,3595706.297,3751413.148,3655608.175,3585114.018,3221447.722,na,na
Australia,0,"Agriculture, forestry and fishing (d) (e) ",A,Use,Sea water for desalination,ML,-,-,-,-,-,-,-,-,-,-
Australia,0,Mining,B,Use,Sea water for desalination,ML,10304.7935,10006.1328,9707.4721,12279.577,72282.871,73286.3634,73345.342,np,np,np
Australia,0,Manufacturing,C,Use,Sea water for desalination,ML,2808.1897,2262.8374,1717.4852,2964,2725.058,5213.35,5549.635,np,np,np
Australia,0,Electricity and gas supply,D,Use,Sea water for desalination,ML,-,-,-,-,-,-,-,-,-,-
Australia,0,"Water supply, sewerage and drainage services",D,Use,Sea water for desalination,ML,144152,148908,202821.9481,171693,131636,385384,314415,283152,179886,170430
