"4610.0 Water Account, Australia, 2021-22",,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 19 October 2023,,,,,,,,,,,,,,
"Monetary Water Supply and Use, by Industry and Water Type, Australia and state/territory (Purchasers' Prices), $ Million, 2014-15 to 2021-22 (a)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Geography Description,Geography Code,Industry,ANZSIC Division Code,Supply/Use,Product,Unit, 2014-15 , 2015-16 , 2016-17 , 2017-18 , 2018-19 , 2019-20 , 2020-21 ,2021-22
Australia,0,"    Total electricity, gas, water and waste services",D,Supply,Bulk Water- Reuse,$m,10.075,15.476,4.939,5.964,6.44,5.969,6.9,5.023
Australia,0,Other industries,E -S,Supply,Bulk Water- Reuse,$m, - , - , - , - , - , - , - , - 
Australia,0,Total Industry,Total industry,Supply,Bulk Water- Reuse,$m,10.075,15.476,4.939,5.964,6.44,5.969,6.9,5.023
Australia,0,Households,HH,Supply,Bulk Water- Reuse,$m, - , - , - , - , - , - , - , - 
Australia,0,Social benefits paid in kind,Social benefits paid in kind,Supply,Bulk Water- Reuse,$m, - , - , - , - , - , - , - , - 
Australia,0,Imports,Imports,Supply,Bulk Water- Reuse,$m, - , - , - , - , - , - , - , - 
Australia,0,Exports,Exports,Supply,Bulk Water- Reuse,$m, - , - , - , - , - , - , - , - 
Australia,0,Taxes,Taxes,Supply,Bulk Water- Reuse,$m, - , - , - , - , - , - , - , - 
Australia,0,Subsidies,Subsidies,Supply,Bulk Water- Reuse,$m, - , - , - , - , - , - , - , - 
Australia,0,Total,Total,Supply,Bulk Water- Reuse,$m,10.075,15.476,4.939,5.964,6.44,5.969,6.9,5.023
Australia,0,"Agriculture, forestry and fishing",A,Supply,Total water supplied,$m, - , - , - , - , - , - , - , - 
Australia,0,Mining,B,Supply,Total water supplied,$m,118.4551,119.0058,129.1443,141.3154,159.0989,172.3975,171.1543,151.9055
Australia,0,Manufacturing,C,Supply,Total water supplied,$m,28.2521,22.4829,25.5823,30.2385,29.6838,31.8441,34.1026,28.6474
Australia,0,"Electricity, gas and waste services",D,Supply,Total water supplied,$m,26.9359,29.2175,31.0517,31.9706,37.8553,31.4661,31.1031,31.8023
Australia,0,"Water supply, sewerage and drainage services",D,Supply,Total water supplied,$m,"10,857.49","11,266.90","11,096.14","11,579.26","12,244.82","12,325.90","12,245.86","12,484.90"
Australia,0,"    Total electricity, gas, water and waste services",D,Supply,Total water supplied,$m,"10,884.43","11,296.11","11,127.19","11,611.23","12,282.67","12,357.36","12,276.96","12,516.70"
Australia,0,Other industries,E -S,Supply,Total water supplied,$m, - , - , - , - , - , - , - , - 
Australia,0,Total Industry,Total industry,Supply,Total water supplied,$m,"11,031.14","11,437.60","11,281.91","11,782.79","12,471.46","12,561.61","12,482.22","12,697.25"
Australia,0,Households,HH,Supply,Total water supplied,$m, - , - , - , - , - , - , - , - 
Australia,0,Social benefits paid in kind,Social benefits paid in kind,Supply,Total water supplied,$m, - , - , - , - , - , - , - , - 
Australia,0,Imports,Imports,Supply,Total water supplied,$m,10.8397,9.8085,11.4074, - ,1.037,1.037, - , - 
Australia,0,Exports,Exports,Supply,Total water supplied,$m, - , - , - , - , - , - , - , - 
Australia,0,Taxes,Taxes,Supply,Total water supplied,$m,39.7959,50.5102,41.4815,41.4815,55.8025,57.7778,60.2469,61.2346
Australia,0,Subsidies,Subsidies,Supply,Total water supplied,$m,-38,-37,-33,-36,-33,-35,-18,-18
Australia,0,Total,Total,Supply,Total water supplied,$m,"11,043.77","11,460.92","11,301.80","11,788.27","12,495.30","12,585.42","12,524.47","12,740.49"
Australia,0,"Agriculture, forestry and fishing",A,Supply,Sewerage and wastewater services ,$m, - , - , - , - , - , - , - , - 
Australia,0,Mining,B,Supply,Sewerage and wastewater services ,$m, - , - , - , - , - , - , - , - 
Australia,0,Manufacturing,C,Supply,Sewerage and wastewater services ,$m, - , - , - , - , - , - , - , - 
Australia,0,"Electricity, gas and waste services",D,Supply,Sewerage and wastewater services ,$m, - , - , - , - , - , - , - , - 
Australia,0,"Water supply, sewerage and drainage services",D,Supply,Sewerage and wastewater services ,$m,"6,517.86","6,771.20","6,763.19","7,045.19","7,113.23","7,610.50","7,465.07","7,663.34"
Australia,0,"    Total electricity, gas, water and waste services",D,Supply,Sewerage and wastewater services ,$m,"6,517.86","6,771.20","6,763.19","7,045.19","7,113.23","7,610.50","7,465.07","7,663.34"
Australia,0,Other industries,E -S,Supply,Sewerage and wastewater services ,$m, - , - , - , - , - , - , - , - 
Australia,0,Total Industry,Total industry,Supply,Sewerage and wastewater services ,$m,"6,517.86","6,771.20","6,763.19","7,045.19","7,113.23","7,610.50","7,465.07","7,663.34"
Australia,0,Households,HH,Supply,Sewerage and wastewater services ,$m, - , - , - , - , - , - , - , - 
