"4610.0 Water Account, Australia, 2023-24",,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 11 December 2025,,,,,,,,,,,,,,,,
"Monetary Water Supply and Use, by Industry and Water Type, Australia and state/territory (Purchasers' Prices), $ Million, 2014-15 to 2023-24 (a)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Geography Description,Geography Code,Industry,ANZSIC Division Code,Supply/Use,Product,Unit, 2014-15 , 2015-16 , 2016-17 , 2017-18 , 2018-19 , 2019-20 , 2020-21 , 2021-22 , 2022-23 , 2023-24 
Australia,0,"Agriculture, forestry and fishing",A,Supply,Bulk Water- Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Mining,B,Supply,Bulk Water- Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Manufacturing,C,Supply,Bulk Water- Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,"Electricity, gas and waste services",D,Supply,Bulk Water- Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,"Water supply, sewerage and drainage services",D,Supply,Bulk Water- Reuse,$m,10.075,15.476,4.939,5.964,6.44,5.969,6.9,5.023,6.0071,7.1052
Australia,0,"    Total electricity, gas, water and waste services",D,Supply,Bulk Water- Reuse,$m,10.075,15.476,4.939,5.964,6.44,5.969,6.9,5.023,6.0071,7.1052
Australia,0,Other industries,E -S,Supply,Bulk Water- Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Total Industry,Total industry,Supply,Bulk Water- Reuse,$m,10.075,15.476,4.939,5.964,6.44,5.969,6.9,5.023,6.0071,7.1052
Australia,0,Households,HH,Supply,Bulk Water- Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Social benefits paid in kind,Social benefits paid in kind,Supply,Bulk Water- Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Imports,Imports,Supply,Bulk Water- Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Exports,Exports,Supply,Bulk Water- Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Taxes (b),Taxes,Supply,Bulk Water- Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Subsidies (c),Subsidies,Supply,Bulk Water- Reuse,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Total,Total,Supply,Bulk Water- Reuse,$m,10.075,15.476,4.939,5.964,6.44,5.969,6.9,5.023,6.0071,7.1052
Australia,0,"Agriculture, forestry and fishing",A,Supply,Total water supplied,$m,-,-,-,-,-,-,-,-,-,-
Australia,0,Mining,B,Supply,Total water supplied,$m,118.4314,121.1079,130.1344,141.863,159.779,171.5378,170.3214,158.1328,166.1236,178.881
